time,open,high,low,close,Volume
1769548500,26079.25,26106,26079.25,26095.5,2976
1769549400,26095.75,26114,26093.25,26113.25,1651
1769550300,26112.75,26118,26108,26110,2079
1769554800,26111.25,26148,26111.25,26144.5,2534
1769555700,26144.25,26146.75,26128.5,26136.5,1149
1769556600,26136.5,26140,26131.5,26139.25,498
1769557500,26139,26142.75,26136.5,26137.5,468
1769558400,26138.25,26162.25,26135.5,26157.25,1264
1769559300,26157.25,26171.75,26153.5,26168.25,1564
1769560200,26168.25,26207.75,26167.5,26207,3188
1769561100,26207,26208.5,26194.5,26206,1389
1769562000,26206.75,26228.25,26206.75,26223,2035
1769562900,26223.5,26226,26215.5,26224,1009
1769563800,26224.25,26226,26208,26209.25,1068
1769564700,26209,26217,26201.75,26205.25,1185
1769565600,26204,26221.75,26203.75,26217.25,1136
1769566500,26216.5,26220.25,26212.75,26212.75,593
1769567400,26213.5,26219,26206.75,26210.75,618
1769568300,26210.75,26221,26209,26214,613
1769569200,26213.75,26218.75,26210.75,26213.25,524
1769570100,26212.75,26216.25,26195.75,26203.25,938
1769571000,26203,26209.25,26194.75,26195,933
1769571900,26195,26203,26192.5,26199,747
1769572800,26200.5,26223,26200.5,26219.75,1200
1769573700,26219.75,26227.5,26218.25,26225.25,654
1769574600,26225.5,26226.5,26217,26219,453
1769575500,26219.25,26220.5,26213.5,26220,428
1769576400,26220.25,26230.5,26220.25,26227.25,705
1769577300,26229.25,26233,26227,26231.25,552
1769578200,26232,26241.75,26231,26239.25,704
1769579100,26240,26248.75,26238.5,26245.5,944
1769580000,26246,26306.25,26246,26305.5,5852
1769580900,26305.25,26320.75,26295.5,26302.25,2077
1769581800,26302.5,26349,26301.25,26316.75,3787
1769582700,26316.25,26327.5,26300.5,26302.75,1514
1769583600,26301.75,26324,26292,26321.5,2140
1769584500,26322,26322.25,26301.25,26304,825
1769585400,26303.5,26321.5,26289,26319,1933
1769586300,26319.25,26322.25,26308.5,26316,1197
1769587200,26315.5,26331.5,26300,26302.25,1929
1769588100,26303.5,26318.75,26276.75,26302.5,2491
1769589000,26302,26314.75,26300,26304,1528
1769589900,26303.25,26303.5,26271,26279,2090
1769590800,26279.5,26284.5,26258,26270,2461
1769591700,26271,26279.25,26255,26262.5,1807
1769592600,26262.25,26275,26252.5,26274.5,1651
1769593500,26274.25,26290.5,26270,26284.5,1290
1769594400,26285.25,26294,26272.5,26287,1035
1769595300,26287.25,26297,26277.25,26294.5,968
1769596200,26294.75,26316.5,26292.25,26309.25,1637
1769597100,26308.5,26320.75,26300.25,26316.75,1432
1769598000,26317.25,26318.25,26295.5,26299.25,1501
1769598900,26299.25,26310.75,26287.5,26308.75,1346
1769599800,26309.25,26318.75,26308.5,26314,971
1769600700,26313,26326.75,26306.25,26318.75,1580
1769601600,26319.25,26320.75,26265,26290.5,3672
1769602500,26292.75,26296.75,26264.75,26277.75,2521
1769603400,26278,26296.5,26270.25,26285.75,1921
1769604300,26286,26301.5,26280.75,26281,2017
1769605200,26281.25,26306,26268.25,26270.25,2318
1769606100,26269.75,26293.75,26267.75,26278.5,2096
1769607000,26278,26283,26255.25,26260.25,3154
1769607900,26260.75,26285.25,26259.5,26273.5,3089
1769608800,26273.5,26278.75,26243.25,26245.5,3779
1769609700,26246.25,26262.5,26234.5,26253,6097
1769610600,26252.5,26296,26213.75,26285,38571
1769611500,26285.5,26301,26230.5,26253.5,24647
1769612400,26253,26265.5,26212.5,26216.25,21275
1769613300,26216.25,26254,26205,26220.75,18191
1769614200,26220.5,26236.5,26181.25,26183.5,19260
1769615100,26183.5,26191,26159.5,26162.75,13657
1769616000,26162.5,26198.5,26162.25,26183.75,11114
1769616900,26183.75,26187.5,26149.5,26182.75,10322
1769617800,26182.5,26182.75,26121,26122.5,12653
1769618700,26122,26136.75,26100.75,26116.75,11862
1769619600,26117.25,26155.75,26114,26151.75,11041
1769620500,26151.25,26163.5,26116.25,26127,10292
1769621400,26127,26138.25,26110.5,26130.5,9057
1769622300,26130.25,26165.5,26119.75,26140.75,9301
1769623200,26140.5,26159.25,26122,26159.25,7725
1769624100,26159,26170.75,26152.5,26159.75,5707
1769625000,26160.5,26166.75,26145.25,26155,5502
1769625900,26155.25,26180,26147.5,26171.5,6532
1769626800,26171,26195.5,26116,26143,12335
1769627700,26142.25,26171.75,26119.25,26122.75,8756
1769628600,26121.75,26179,26112.75,26148,21268
1769629500,26148.5,26210.25,26144.5,26160.75,16805
1769630400,26161,26212.25,26153.5,26197.5,10606
1769631300,26197,26210.5,26171.75,26174.5,9505
1769632200,26174.25,26182.25,26150,26156.75,9350
1769633100,26156.75,26188.5,26131.25,26149.25,20822
1769634000,26149.5,26199.75,25993.25,26197,27553
1769634900,26196,26264.75,26180.5,26262.5,9366
1769635800,26263,26274.25,26245.25,26266.5,4890
1769636700,26267,26287.75,26244,26268.25,3659
1769641200,26282.5,26296,26160.75,26163.75,4094
1769642100,26162,26244,26160.5,26208.75,3523
1769643000,26209.5,26215,26176.25,26187.5,2138
1769643900,26187,26217.25,26160,26170.25,3045
1769644800,26173.25,26180.5,26104.25,26145.5,4701
1769645700,26144.75,26171,26129,26171,2497
1769646600,26170.5,26171,26126.5,26136,2091
1769647500,26135.5,26163.75,26128,26163.75,1637
1769648400,26164.25,26168.25,26141.25,26147.75,1831
1769649300,26147.75,26149.5,26085.5,26111,2922
1769650200,26112.25,26124.25,26091.5,26107.25,2018
1769651100,26107.75,26130,26103,26128.75,1261
1769652000,26129.25,26151.25,26122.75,26134.5,1550
1769652900,26137.25,26177,26128,26171.25,1793
1769653800,26172,26177.25,26157.75,26161.25,947
1769654700,26160.25,26175.25,26148,26162.5,1382
1769655600,26163,26181,26162,26179.75,997
1769656500,26180.75,26194.25,26179.75,26184.25,967
1769657400,26185,26196.5,26178,26195.25,911
1769658300,26195.5,26199.75,26185.75,26198.75,721
1769659200,26198,26204,26195.25,26202.5,553
1769660100,26202.5,26225.75,26201.5,26214.25,1236
1769661000,26215,26230,26215,26224.25,503
1769661900,26224,26233.25,26220.25,26228,587
1769662800,26227.75,26231.5,26210.25,26217,877
1769663700,26217.25,26233,26216.75,26230.5,531
1769664600,26232.25,26249.5,26230,26249,882
1769665500,26249,26249,26227.75,26234.25,755
1769666400,26233.25,26264.75,26232.5,26263,1144
1769667300,26262,26268.5,26248,26256,772
1769668200,26255.25,26262.75,26241.75,26246.5,582
1769669100,26246.75,26250.75,26231.75,26246.75,767
1769670000,26246.5,26258.5,26241,26247,792
1769670900,26247,26250,26231.5,26250,738
1769671800,26249.75,26276.5,26245,26273,1170
1769672700,26273.75,26275.5,26251.25,26255.25,887
1769673600,26255.5,26268.75,26226.5,26265.5,2525
1769674500,26264.5,26280.5,26249.75,26268,1620
1769675400,26268.25,26271.25,26244.5,26261.75,1492
1769676300,26260.75,26265.5,26233.25,26248.75,1465
1769677200,26248.75,26273.25,26245,26266.25,1307
1769678100,26267.5,26270.75,26251.5,26252.75,1022
1769679000,26252,26265.75,26240.75,26253.25,1363
1769679900,26252.25,26252.25,26210,26211.75,1638
1769680800,26211,26220.5,26197.5,26204.5,2361
1769681700,26204.75,26237,26204.5,26228.5,1440
1769682600,26228.75,26230,26210.5,26218,736
1769683500,26217,26224.25,26187,26191.75,1409
1769684400,26191.75,26206.75,26175.25,26194.75,1874
1769685300,26195,26202.75,26181,26196.25,1678
1769686200,26194.25,26203.75,26178.5,26192.75,2191
1769687100,26193,26208.75,26191,26200,1227
1769688000,26201,26221.75,26199,26212.25,1397
1769688900,26212.75,26216.75,26188.5,26199,1496
1769689800,26198.25,26200.25,26159,26161.75,2070
1769690700,26162,26180,26156.5,26176.25,2065
1769691600,26176,26188.25,26169.75,26175,1383
1769692500,26174.5,26176.5,26150.5,26173.5,2397
1769693400,26173.25,26203.5,26158.75,26197.75,3020
1769694300,26198,26202,26184,26194.75,2313
1769695200,26194.25,26196.75,26140.25,26149.5,5447
1769696100,26149,26161,26132,26133.25,5710
1769697000,26133.5,26175,25947,25950.75,54676
1769697900,25951.5,26008.25,25858,25864.5,44969
1769698800,25864.5,25868.25,25718.25,25721,52753
1769699700,25721.5,25822.75,25720.25,25735.75,38368
1769700600,25735.25,25753.25,25609.75,25623.75,33851
1769701500,25625,25643.25,25536,25576.75,35241
1769702400,25576.75,25666.75,25538,25662.5,29854
1769703300,25662.75,25714.25,25652,25684,25120
1769704200,25684,25733.25,25667.5,25709.5,18207
1769705100,25709.25,25739.75,25684.25,25711.25,17678
1769706000,25711.25,25810,25708.75,25799.5,15200
1769706900,25800,25852.25,25791.25,25839.5,13523
1769707800,25839.25,25878.75,25814.5,25836.5,14965
1769708700,25837.5,25838,25749,25760.5,18219
1769709600,25760.25,25861.25,25758.25,25852.75,15227
1769710500,25851.25,25856.75,25814,25846,9564
1769711400,25846.25,25891.5,25820.75,25867.75,11408
1769712300,25867.75,25878.75,25836,25836.75,8875
1769713200,25836.25,25883.5,25820,25876.25,11202
1769714100,25876,25898.5,25868,25878.5,7205
1769715000,25878.5,25887.25,25844.5,25857,9759
1769715900,25857,25871.75,25834,25849,7062
1769716800,25849.25,25881.25,25841.5,25869,7956
1769717700,25868.5,25880.25,25851.5,25854,7831
1769718600,25854,25926.5,25846.5,25921.75,12877
1769719500,25921.5,26020,25912,25991.5,33248
1769720400,25991.5,26020,25967.75,25982.75,11938
1769721300,25982,26024,25951,25987,3547
1769722200,25987.75,26050,25963.75,25984.25,7823
1769723100,25984,26001.25,25970.5,25982.5,3098
1769727600,25998.5,26010.5,25901,25908,3621
1769728500,25907.75,25983,25882.75,25941.25,3373
1769729400,25941.75,26020,25940,26003.25,2357
1769730300,26004.75,26012,25956.5,25972.25,2027
1769731200,25972.5,25991.25,25938,25954.5,2165
1769732100,25955,25971.25,25907.25,25926.25,3026
1769733000,25926,25993.75,25914.75,25921.25,3190
1769733900,25922.5,25948.5,25916.5,25930,995
1769734800,25931,25933.75,25895.75,25905,2168
1769735700,25901.5,25909.25,25880,25886,1811
1769736600,25887,25888,25796.75,25823.5,4311
1769737500,25824,25866.5,25809,25852.25,2858
1769738400,25852.25,25866.25,25814.75,25823.25,2706
1769739300,25824.25,25842.25,25751.5,25751.5,4149
1769740200,25754.5,25800.75,25736,25788.5,3027
1769741100,25788.5,25847,25780.75,25843,2222
1769742000,25843.75,25888,25840,25855.5,2913
1769742900,25856.75,25872.25,25827.75,25849,2349
1769743800,25849,25879.5,25843.25,25853.5,1650
1769744700,25855.25,25874.5,25846.25,25847,1073
1769745600,25846.75,25886.75,25843.25,25886.75,932
1769746500,25887.5,25896,25862.75,25879,1218
1769747400,25880.25,25896,25875,25880,621
1769748300,25882.75,25888,25851.75,25857.5,876
1769749200,25859.5,25887,25856.75,25866,917
1769750100,25864.75,25873.75,25850,25868.25,793
1769751000,25867.25,25867.75,25844.75,25847.5,739
1769751900,25848.5,25862,25832.25,25833,794
1769752800,25833.75,25838.5,25801.25,25809.75,1645
1769753700,25812,25812.5,25756.75,25787.25,2335
1769754600,25782.75,25814,25770.5,25788.75,1648
1769755500,25787.25,25796.5,25737,25751.5,2458
1769756400,25750.75,25804,25744.5,25790.25,1716
1769757300,25791.5,25793,25756.25,25762,1528
1769758200,25761.5,25780,25707.25,25736.75,2667
1769759100,25737,25746.75,25700,25707.25,1981
1769760000,25710.5,25746.5,25682,25740.75,4062
1769760900,25740.75,25771,25722.5,25747.75,2368
1769761800,25746.75,25746.75,25691.75,25727,2346
1769762700,25728.25,25792.5,25716,25768.75,2904
1769763600,25768.75,25786.75,25712.75,25716.5,2806
1769764500,25718.75,25731.25,25688.75,25706.25,2412
1769765400,25706.5,25731,25693.75,25707,1949
1769766300,25706.25,25716.5,25649.75,25696.75,4090
1769767200,25696.5,25741.75,25694,25738.5,2130
1769768100,25738.75,25749.5,25716.5,25728.25,1971
1769769000,25727.5,25785,25727.25,25774.5,2448
1769769900,25776.25,25790,25756.5,25764.75,1906
1769770800,25765.25,25807.5,25763.75,25806,1872
1769771700,25805.25,25819.25,25793.5,25817.75,1719
1769772600,25817.5,25845.25,25808.5,25830,2546
1769773500,25831.25,25884,25788,25871,4172
1769774400,25870.25,25905.25,25858.5,25870.25,3420
1769775300,25870.5,25884.75,25854.5,25866.75,1954
1769776200,25867.25,25894.75,25846.75,25849.75,2315
1769777100,25850.5,25870.75,25821.75,25846.5,2654
1769778000,25847,25885.75,25840.5,25878.75,2037
1769778900,25879.5,25888,25827.75,25875.5,2586
1769779800,25842.25,25875.5,25752.5,25843,6698
1769780700,25843.25,25853.25,25811.75,25826.25,3847
1769781600,25825.75,25850,25808.5,25834.5,4468
1769782500,25833.75,25847.25,25805.5,25833.5,5542
1769783400,25834.25,25940,25813.5,25871.75,45375
1769784300,25871,25930,25806.25,25827,28040
1769785200,25826.5,25925.5,25810.25,25896,27150
1769786100,25895.5,25919.25,25790.75,25794,21725
1769787000,25794,25912.5,25770.75,25893.75,28804
1769787900,25892.75,25934,25824.25,25841.5,19359
1769788800,25842,25869,25814,25832.5,14236
1769789700,25832.75,25833.75,25753.25,25799,19217
1769790600,25798.75,25860,25784,25835.5,18055
1769791500,25835.75,25838.25,25744.25,25757.5,16912
1769792400,25758.25,25763,25686,25703,19057
1769793300,25702.75,25789.25,25688.25,25782.25,17061
1769794200,25782.5,25795.75,25700.25,25741.75,17748
1769795100,25742.5,25773.75,25678.25,25679.5,15511
1769796000,25677.75,25715.25,25661,25672.5,13584
1769796900,25671.25,25680,25568.75,25671.25,23735
1769797800,25671.5,25682.75,25597.25,25624,15359
1769798700,25623.5,25771.75,25620.25,25741.25,19233
1769799600,25741.25,25781.5,25726.5,25744,17028
1769800500,25743.25,25763,25715,25716.75,14307
1769801400,25716.5,25738,25672.5,25693.25,16419
1769802300,25693.25,25724.5,25652,25658.25,14435
1769803200,25658.25,25682.75,25613.5,25616.5,13243
1769804100,25615.25,25615.5,25571.25,25596,17516
1769805000,25595.75,25654.5,25591,25649.25,18225
1769805900,25648.75,25731.75,25625,25675.5,37706
1769806800,25675.75,25707,25625.5,25648.5,12509
1769807700,25647.75,25676.5,25644.5,25650.5,3062
1769808600,25650.25,25656.75,25629.75,25633,1785
1769809500,25632.75,25650,25629.5,25639.25,2402
1769986800,25530,25537.25,25401.25,25442,7154
1769987700,25443.75,25465,25373.75,25433.75,3755
1769988600,25433,25559.25,25418.5,25544.5,4471
